2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
351-400,251-300,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia,,,,,,75.8
351-400,301-350,Novosibirsk State University,Russia,,,,,,55.2
351-400,,Radboud University ,Netherlands,,,,,,49.8
351-400,,Silesian University of Technology,Poland,,,,,,56.7
351-400,301-350,Technische Universität Hamburg-Harburg,Germany,,,,,,56.9
351-400,301-350,Tel Aviv University,Israel,,,,,,54.1
351-400,301-350,The University of Exeter,United Kingdom,,,,,,72
351-400,301-350,Universidade Federal de Minas Gerais      ,Brazil,,,,,,45.4
351-400,,Universidade Federal de Santa Catarina ,Brazil,,,,,,46.5
351-400,301-350,Universidade Federal do Rio Grande Do Sul ,Brazil,,,,,,57.5
351-400,301-350,Universidade Nova de Lisboa,Portugal,,,,,,57.5
351-400,301-350,Università degli Studi di Pavia,Italy,,,,,,60.8
351-400,301-350,Universität Jena,Germany,,,,,,77.5
351-400,301-350,Université de Nantes,France,,,,,,76.2
351-400,351-400,Universiti Malaysia Pahang,Malaysia,,,,,,65.5
351-400,351-400,University of Coimbra,Portugal,,,,,,67
351-400,301-350,University of Cologne,Germany,,,,,,54.2
351-400,351-400,University of Genoa,Italy,,,,,,65.2
351-400,401-420,University of Granada,Spain,,,,,,69.4
351-400,301-350,University of Houston,United States,,,,,,61.9
351-400,,University of Johannesburg,South Africa,,,,,,77.1
351-400,,University of Mons ,Belgium,,,,,,62.8
351-400,351-400,University of Nebraska - Lincoln,United States,,,,,,59
351-400,301-350,University of Notre Dame,United States,,,,,,57.2
351-400,351-400,University of Oulu,Finland,,,,,,64.4
351-400,401-420,University of Rochester,United States,,,,,,59.5
351-400,351-400,University of South Africa,South Africa,,,,,,84.8
351-400,351-400,University of Turin,Italy,,,,,,49.8
351-400,251-300,University of Utah,United States,,,,,,45.8
351-400,301-350,University of Witwatersrand,South Africa,,,,,,75.1
351-400,301-350,University Ulm,Germany,,,,,,60.4
401-420,,Aalborg University,Denmark,,,,,,67.6
401-420,351-400,Christian-Albrechts-University zu Kiel,Germany,,,,,,60.3
401-420,401-420,Dalhousie University,Canada,,,,,,44.9
401-420,351-400,Gdańsk University of Technology,Poland,,,,,,70.8
401-420,,Indian Institute of Technology Indore (IIT Indore),India,,,,,,44.7
401-420,351-400,Iran University of Science and Technology,"Iran, Islamic Republic of",,,,,,71.2
401-420,401-420,Julius-Maximilians-Universität Würzburg,Germany,,,,,,59.8
401-420,351-400,Lodz University of Technology,Poland,,,,,,71.5
401-420,351-400,National Chung Hsing University,Taiwan,,,,,,38.5
401-420,351-400,National Sun Yat-sen University,Taiwan,,,,,,29.6
401-420,351-400,Universidad Nacional de Colombia,Colombia,,,,,,48.7
401-420,,Universität Bremen,Germany,,,,,,58
401-420,351-400,Université de Liège,Belgium,,,,,,58.3
401-420,351-400,Universite libre de Bruxelles,Belgium,,,,,,47.1
401-420,351-400,University of Connecticut,United States,,,,,,46
401-420,351-400,University of Milano-Bicocca ,Italy,,,,,,48.3
401-420,,University of Saskatchewan,Canada,,,,,,56.7
401-420,401-420,University of South Florida,United States,,,,,,51.8
